tau_s,tau_m,answerable_retention,unanswerable_refusal,balanced_abstention_accuracy
-10.0,-5.0,1.0,0.2666666666666667,0.6333333333333333
-10.0,-4.5,1.0,0.2666666666666667,0.6333333333333333
-10.0,-4.0,1.0,0.2666666666666667,0.6333333333333333
-10.0,-3.5,1.0,0.2666666666666667,0.6333333333333333
-10.0,-3.0,1.0,0.2666666666666667,0.6333333333333333
-10.0,-2.5,1.0,0.2666666666666667,0.6333333333333333
-10.0,-2.0,1.0,0.2666666666666667,0.6333333333333333
-10.0,-1.5,1.0,0.2666666666666667,0.6333333333333333
-10.0,-1.0,1.0,0.2666666666666667,0.6333333333333333
-10.0,-0.5,1.0,0.2666666666666667,0.6333333333333333
-10.0,0.0,1.0,0.2666666666666667,0.6333333333333333
-10.0,0.5,1.0,0.2666666666666667,0.6333333333333333
-10.0,1.0,0.9963636363636363,0.33333333333333337,0.6648484848484848
-10.0,1.5,0.9963636363636363,0.43333333333333335,0.7148484848484848
-10.0,2.0,0.9963636363636363,0.5333333333333333,0.7648484848484849
-10.0,2.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
-10.0,3.0,0.9963636363636363,0.7,0.8481818181818181
-10.0,3.5,0.9890909090909091,0.7,0.8445454545454545
-10.0,4.0,0.9818181818181818,0.7,0.8409090909090908
-10.0,4.5,0.9745454545454545,0.8333333333333334,0.9039393939393939
-10.0,5.0,0.9636363636363636,0.8666666666666667,0.9151515151515152
-9.5,-5.0,1.0,0.30000000000000004,0.65
-9.5,-4.5,1.0,0.30000000000000004,0.65
-9.5,-4.0,1.0,0.30000000000000004,0.65
-9.5,-3.5,1.0,0.30000000000000004,0.65
-9.5,-3.0,1.0,0.30000000000000004,0.65
-9.5,-2.5,1.0,0.30000000000000004,0.65
-9.5,-2.0,1.0,0.30000000000000004,0.65
-9.5,-1.5,1.0,0.30000000000000004,0.65
-9.5,-1.0,1.0,0.30000000000000004,0.65
-9.5,-0.5,1.0,0.30000000000000004,0.65
-9.5,0.0,1.0,0.30000000000000004,0.65
-9.5,0.5,1.0,0.30000000000000004,0.65
-9.5,1.0,0.9963636363636363,0.3666666666666667,0.6815151515151515
-9.5,1.5,0.9963636363636363,0.43333333333333335,0.7148484848484848
-9.5,2.0,0.9963636363636363,0.5333333333333333,0.7648484848484849
-9.5,2.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
