tau_s,tau_m,answerable_retention,unanswerable_refusal,balanced_abstention_accuracy
-10.0,-5.0,1.0,0.0028571428571428914,0.5014285714285714
-10.0,-4.5,1.0,0.0028571428571428914,0.5014285714285714
-10.0,-4.0,1.0,0.0028571428571428914,0.5014285714285714
-10.0,-3.5,1.0,0.0028571428571428914,0.5014285714285714
-10.0,-3.0,1.0,0.0028571428571428914,0.5014285714285714
-10.0,-2.5,1.0,0.0028571428571428914,0.5014285714285714
-10.0,-2.0,1.0,0.0028571428571428914,0.5014285714285714
-10.0,-1.5,1.0,0.0028571428571428914,0.5014285714285714
-10.0,-1.0,1.0,0.0028571428571428914,0.5014285714285714
-10.0,-0.5,1.0,0.0028571428571428914,0.5014285714285714
-10.0,0.0,1.0,0.0028571428571428914,0.5014285714285714
-10.0,0.5,0.9971428571428571,0.008571428571428563,0.5028571428571429
-10.0,1.0,0.9885714285714285,0.037142857142857144,0.5128571428571429
-10.0,1.5,0.96,0.05142857142857138,0.5057142857142857
-10.0,2.0,0.9428571428571428,0.08857142857142852,0.5157142857142857
-10.0,2.5,0.92,0.11428571428571432,0.5171428571428571
-10.0,3.0,0.8971428571428571,0.1428571428571429,0.52
-10.0,3.5,0.8485714285714285,0.17428571428571427,0.5114285714285713
-10.0,4.0,0.8057142857142857,0.20857142857142852,0.5071428571428571
-10.0,4.5,0.7857142857142857,0.22857142857142854,0.5071428571428571
-10.0,5.0,0.7514285714285714,0.2628571428571429,0.5071428571428571
-9.5,-5.0,0.9971428571428571,0.0028571428571428914,0.5
-9.5,-4.5,0.9971428571428571,0.0028571428571428914,0.5
-9.5,-4.0,0.9971428571428571,0.0028571428571428914,0.5
-9.5,-3.5,0.9971428571428571,0.0028571428571428914,0.5
-9.5,-3.0,0.9971428571428571,0.0028571428571428914,0.5
-9.5,-2.5,0.9971428571428571,0.0028571428571428914,0.5
-9.5,-2.0,0.9971428571428571,0.0028571428571428914,0.5
-9.5,-1.5,0.9971428571428571,0.0028571428571428914,0.5
-9.5,-1.0,0.9971428571428571,0.0028571428571428914,0.5
-9.5,-0.5,0.9971428571428571,0.0028571428571428914,0.5
-9.5,0.0,0.9971428571428571,0.0028571428571428914,0.5
-9.5,0.5,0.9942857142857143,0.008571428571428563,0.5014285714285714
-9.5,1.0,0.9857142857142858,0.037142857142857144,0.5114285714285715
-9.5,1.5,0.96,0.05142857142857138,0.5057142857142857
-9.5,2.0,0.9428571428571428,0.08857142857142852,0.5157142857142857
-9.5,2.5,0.92,0.11428571428571432,0.5171428571428571
-9.5,3.0,0.8971428571428571,0.1428571428571429,0.52
-9.5,3.5,0.8485714285714285,0.17428571428571427,0.5114285714285713
-9.5,4.0,0.8057142857142857,0.20857142857142852,0.5071428571428571
-9.5,4.5,0.7857142857142857,0.22857142857142854,0.5071428571428571
-9.5,5.0,0.7514285714285714,0.2628571428571429,0.5071428571428571
-9.0,-5.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-9.0,-4.5,0.9971428571428571,0.005714285714285672,0.5014285714285713
-9.0,-4.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-9.0,-3.5,0.9971428571428571,0.005714285714285672,0.5014285714285713
-9.0,-3.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-9.0,-2.5,0.9971428571428571,0.005714285714285672,0.5014285714285713
-9.0,-2.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-9.0,-1.5,0.9971428571428571,0.005714285714285672,0.5014285714285713
-9.0,-1.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-9.0,-0.5,0.9971428571428571,0.005714285714285672,0.5014285714285713
-9.0,0.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-9.0,0.5,0.9942857142857143,0.011428571428571455,0.5028571428571429
-9.0,1.0,0.9857142857142858,0.040000000000000036,0.5128571428571429
-9.0,1.5,0.96,0.05142857142857138,0.5057142857142857
-9.0,2.0,0.9428571428571428,0.08857142857142852,0.5157142857142857
-9.0,2.5,0.92,0.11428571428571432,0.5171428571428571
-9.0,3.0,0.8971428571428571,0.1428571428571429,0.52
-9.0,3.5,0.8485714285714285,0.17428571428571427,0.5114285714285713
-9.0,4.0,0.8057142857142857,0.20857142857142852,0.5071428571428571
-9.0,4.5,0.7857142857142857,0.22857142857142854,0.5071428571428571
-9.0,5.0,0.7514285714285714,0.2628571428571429,0.5071428571428571
-8.5,-5.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-8.5,-4.5,0.9971428571428571,0.005714285714285672,0.5014285714285713
-8.5,-4.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-8.5,-3.5,0.9971428571428571,0.005714285714285672,0.5014285714285713
-8.5,-3.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-8.5,-2.5,0.9971428571428571,0.005714285714285672,0.5014285714285713
-8.5,-2.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-8.5,-1.5,0.9971428571428571,0.005714285714285672,0.5014285714285713
-8.5,-1.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-8.5,-0.5,0.9971428571428571,0.005714285714285672,0.5014285714285713
-8.5,0.0,0.9971428571428571,0.005714285714285672,0.5014285714285713
-8.5,0.5,0.9942857142857143,0.011428571428571455,0.5028571428571429
-8.5,1.0,0.9857142857142858,0.040000000000000036,0.5128571428571429
-8.5,1.5,0.96,0.05142857142857138,0.5057142857142857
-8.5,2.0,0.9428571428571428,0.08857142857142852,0.5157142857142857
-8.5,2.5,0.92,0.11428571428571432,0.5171428571428571
-8.5,3.0,0.8971428571428571,0.1428571428571429,0.52
-8.5,3.5,0.8485714285714285,0.17428571428571427,0.5114285714285713
-8.5,4.0,0.8057142857142857,0.20857142857142852,0.5071428571428571
-8.5,4.5,0.7857142857142857,0.22857142857142854,0.5071428571428571
-8.5,5.0,0.7514285714285714,0.2628571428571429,0.5071428571428571
-8.0,-5.0,0.9971428571428571,0.008571428571428563,0.5028571428571429
-8.0,-4.5,0.9971428571428571,0.008571428571428563,0.5028571428571429
-8.0,-4.0,0.9971428571428571,0.008571428571428563,0.5028571428571429
-8.0,-3.5,0.9971428571428571,0.008571428571428563,0.5028571428571429
-8.0,-3.0,0.9971428571428571,0.008571428571428563,0.5028571428571429
-8.0,-2.5,0.9971428571428571,0.008571428571428563,0.5028571428571429
-8.0,-2.0,0.9971428571428571,0.008571428571428563,0.5028571428571429
-8.0,-1.5,0.9971428571428571,0.008571428571428563,0.5028571428571429
-8.0,-1.0,0.9971428571428571,0.008571428571428563,0.5028571428571429
-8.0,-0.5,0.9971428571428571,0.008571428571428563,0.5028571428571429
-8.0,0.0,0.9971428571428571,0.008571428571428563,0.5028571428571429
-8.0,0.5,0.9942857142857143,0.014285714285714235,0.5042857142857142
-8.0,1.0,0.9857142857142858,0.040000000000000036,0.5128571428571429
-8.0,1.5,0.96,0.05142857142857138,0.5057142857142857
-8.0,2.0,0.9428571428571428,0.08857142857142852,0.5157142857142857
-8.0,2.5,0.92,0.11428571428571432,0.5171428571428571
-8.0,3.0,0.8971428571428571,0.1428571428571429,0.52
-8.0,3.5,0.8485714285714285,0.17428571428571427,0.5114285714285713
-8.0,4.0,0.8057142857142857,0.20857142857142852,0.5071428571428571
-8.0,4.5,0.7857142857142857,0.22857142857142854,0.5071428571428571
-8.0,5.0,0.7514285714285714,0.2628571428571429,0.5071428571428571
-7.5,-5.0,0.9971428571428571,0.014285714285714235,0.5057142857142857
-7.5,-4.5,0.9971428571428571,0.014285714285714235,0.5057142857142857
-7.5,-4.0,0.9971428571428571,0.014285714285714235,0.5057142857142857
-7.5,-3.5,0.9971428571428571,0.014285714285714235,0.5057142857142857
-7.5,-3.0,0.9971428571428571,0.014285714285714235,0.5057142857142857
-7.5,-2.5,0.9971428571428571,0.014285714285714235,0.5057142857142857
-7.5,-2.0,0.9971428571428571,0.014285714285714235,0.5057142857142857
-7.5,-1.5,0.9971428571428571,0.014285714285714235,0.5057142857142857
-7.5,-1.0,0.9971428571428571,0.014285714285714235,0.5057142857142857
-7.5,-0.5,0.9971428571428571,0.014285714285714235,0.5057142857142857
-7.5,0.0,0.9971428571428571,0.014285714285714235,0.5057142857142857
-7.5,0.5,0.9942857142857143,0.017142857142857126,0.5057142857142858
-7.5,1.0,0.9857142857142858,0.040000000000000036,0.5128571428571429
-7.5,1.5,0.96,0.05142857142857138,0.5057142857142857
-7.5,2.0,0.9428571428571428,0.08857142857142852,0.5157142857142857
-7.5,2.5,0.92,0.11428571428571432,0.5171428571428571
-7.5,3.0,0.8971428571428571,0.1428571428571429,0.52
-7.5,3.5,0.8485714285714285,0.17428571428571427,0.5114285714285713
-7.5,4.0,0.8057142857142857,0.20857142857142852,0.5071428571428571
-7.5,4.5,0.7857142857142857,0.22857142857142854,0.5071428571428571
-7.5,5.0,0.7514285714285714,0.2628571428571429,0.5071428571428571
-7.0,-5.0,0.9942857142857143,0.020000000000000018,0.5071428571428571
-7.0,-4.5,0.9942857142857143,0.020000000000000018,0.5071428571428571
-7.0,-4.0,0.9942857142857143,0.020000000000000018,0.5071428571428571
-7.0,-3.5,0.9942857142857143,0.020000000000000018,0.5071428571428571
-7.0,-3.0,0.9942857142857143,0.020000000000000018,0.5071428571428571
-7.0,-2.5,0.9942857142857143,0.020000000000000018,0.5071428571428571
-7.0,-2.0,0.9942857142857143,0.020000000000000018,0.5071428571428571
-7.0,-1.5,0.9942857142857143,0.020000000000000018,0.5071428571428571
-7.0,-1.0,0.9942857142857143,0.020000000000000018,0.5071428571428571
-7.0,-0.5,0.9942857142857143,0.020000000000000018,0.5071428571428571
-7.0,0.0,0.9942857142857143,0.020000000000000018,0.5071428571428571
-7.0,0.5,0.9914285714285714,0.020000000000000018,0.5057142857142858
-7.0,1.0,0.9828571428571429,0.042857142857142816,0.5128571428571429
-7.0,1.5,0.96,0.05428571428571427,0.5071428571428571
-7.0,2.0,0.9428571428571428,0.08857142857142852,0.5157142857142857
-7.0,2.5,0.92,0.11428571428571432,0.5171428571428571
-7.0,3.0,0.8971428571428571,0.1428571428571429,0.52
-7.0,3.5,0.8485714285714285,0.17428571428571427,0.5114285714285713
-7.0,4.0,0.8057142857142857,0.20857142857142852,0.5071428571428571
-7.0,4.5,0.7857142857142857,0.22857142857142854,0.5071428571428571
-7.0,5.0,0.7514285714285714,0.2628571428571429,0.5071428571428571
-6.5,-5.0,0.9914285714285714,0.020000000000000018,0.5057142857142858
-6.5,-4.5,0.9914285714285714,0.020000000000000018,0.5057142857142858
-6.5,-4.0,0.9914285714285714,0.020000000000000018,0.5057142857142858
-6.5,-3.5,0.9914285714285714,0.020000000000000018,0.5057142857142858
-6.5,-3.0,0.9914285714285714,0.020000000000000018,0.5057142857142858
-6.5,-2.5,0.9914285714285714,0.020000000000000018,0.5057142857142858
-6.5,-2.0,0.9914285714285714,0.020000000000000018,0.5057142857142858
-6.5,-1.5,0.9914285714285714,0.020000000000000018,0.5057142857142858
-6.5,-1.0,0.9914285714285714,0.020000000000000018,0.5057142857142858
-6.5,-0.5,0.9914285714285714,0.020000000000000018,0.5057142857142858
-6.5,0.0,0.9914285714285714,0.020000000000000018,0.5057142857142858
