dataset,system,context_size,model,llm_call_rate,cost_usd_per_1k
squad,BM25,short_top1,gpt-4o-mini,1.0,0.0207
squad,BM25,short_top1,claude-haiku-4.5,1.0,0.116
squad,BM25,short_top1,gpt-4o,1.0,0.345
squad,BM25,short_top1,claude-sonnet-4.6,1.0,0.435
squad,BM25,standard_top3,gpt-4o-mini,1.0,0.0468
squad,BM25,standard_top3,claude-haiku-4.5,1.0,0.2552
squad,BM25,standard_top3,gpt-4o,1.0,0.78
squad,BM25,standard_top3,claude-sonnet-4.6,1.0,0.957
squad,BM25,long_top5,gpt-4o-mini,1.0,0.0732
squad,BM25,long_top5,claude-haiku-4.5,1.0,0.396
squad,BM25,long_top5,gpt-4o,1.0,1.22
squad,BM25,long_top5,claude-sonnet-4.6,1.0,1.485
squad,NaiveRAG,short_top1,gpt-4o-mini,1.0,0.0207
squad,NaiveRAG,short_top1,claude-haiku-4.5,1.0,0.116
squad,NaiveRAG,short_top1,gpt-4o,1.0,0.345
squad,NaiveRAG,short_top1,claude-sonnet-4.6,1.0,0.435
squad,NaiveRAG,standard_top3,gpt-4o-mini,1.0,0.0468
squad,NaiveRAG,standard_top3,claude-haiku-4.5,1.0,0.2552
squad,NaiveRAG,standard_top3,gpt-4o,1.0,0.78
squad,NaiveRAG,standard_top3,claude-sonnet-4.6,1.0,0.957
squad,NaiveRAG,long_top5,gpt-4o-mini,1.0,0.0732
squad,NaiveRAG,long_top5,claude-haiku-4.5,1.0,0.396
squad,NaiveRAG,long_top5,gpt-4o,1.0,1.22
squad,NaiveRAG,long_top5,claude-sonnet-4.6,1.0,1.485
squad,RAG+Rerank,short_top1,gpt-4o-mini,1.0,0.0207
squad,RAG+Rerank,short_top1,claude-haiku-4.5,1.0,0.116
squad,RAG+Rerank,short_top1,gpt-4o,1.0,0.345
squad,RAG+Rerank,short_top1,claude-sonnet-4.6,1.0,0.435
squad,RAG+Rerank,standard_top3,gpt-4o-mini,1.0,0.0468
squad,RAG+Rerank,standard_top3,claude-haiku-4.5,1.0,0.2552
squad,RAG+Rerank,standard_top3,gpt-4o,1.0,0.78
squad,RAG+Rerank,standard_top3,claude-sonnet-4.6,1.0,0.957
squad,RAG+Rerank,long_top5,gpt-4o-mini,1.0,0.0732
squad,RAG+Rerank,long_top5,claude-haiku-4.5,1.0,0.396
squad,RAG+Rerank,long_top5,gpt-4o,1.0,1.22
squad,RAG+Rerank,long_top5,claude-sonnet-4.6,1.0,1.485
squad,AutoRAG,short_top1,gpt-4o-mini,0.45476190476190476,0.0094
squad,AutoRAG,short_top1,claude-haiku-4.5,0.45476190476190476,0.0528
squad,AutoRAG,short_top1,gpt-4o,0.45476190476190476,0.1569
squad,AutoRAG,short_top1,claude-sonnet-4.6,0.45476190476190476,0.1978
squad,AutoRAG,standard_top3,gpt-4o-mini,0.45476190476190476,0.0213
squad,AutoRAG,standard_top3,claude-haiku-4.5,0.45476190476190476,0.1161
squad,AutoRAG,standard_top3,gpt-4o,0.45476190476190476,0.3547
squad,AutoRAG,standard_top3,claude-sonnet-4.6,0.45476190476190476,0.4352
squad,AutoRAG,long_top5,gpt-4o-mini,0.45476190476190476,0.0333
squad,AutoRAG,long_top5,claude-haiku-4.5,0.45476190476190476,0.1801
squad,AutoRAG,long_top5,gpt-4o,0.45476190476190476,0.5548
squad,AutoRAG,long_top5,claude-sonnet-4.6,0.45476190476190476,0.6753
squad,RAG+Rerank+Abstain,short_top1,gpt-4o-mini,0.4785714285714286,0.0099
squad,RAG+Rerank+Abstain,short_top1,claude-haiku-4.5,0.4785714285714286,0.0555
squad,RAG+Rerank+Abstain,short_top1,gpt-4o,0.4785714285714286,0.1651
squad,RAG+Rerank+Abstain,short_top1,claude-sonnet-4.6,0.4785714285714286,0.2082
squad,RAG+Rerank+Abstain,standard_top3,gpt-4o-mini,0.4785714285714286,0.0224
squad,RAG+Rerank+Abstain,standard_top3,claude-haiku-4.5,0.4785714285714286,0.1221
squad,RAG+Rerank+Abstain,standard_top3,gpt-4o,0.4785714285714286,0.3733
squad,RAG+Rerank+Abstain,standard_top3,claude-sonnet-4.6,0.4785714285714286,0.458
squad,RAG+Rerank+Abstain,long_top5,gpt-4o-mini,0.4785714285714286,0.035
squad,RAG+Rerank+Abstain,long_top5,claude-haiku-4.5,0.4785714285714286,0.1895
squad,RAG+Rerank+Abstain,long_top5,gpt-4o,0.4785714285714286,0.5839
squad,RAG+Rerank+Abstain,long_top5,claude-sonnet-4.6,0.4785714285714286,0.7107
enterprise,BM25,short_top1,gpt-4o-mini,1.0,0.0207
enterprise,BM25,short_top1,claude-haiku-4.5,1.0,0.116
enterprise,BM25,short_top1,gpt-4o,1.0,0.345
enterprise,BM25,short_top1,claude-sonnet-4.6,1.0,0.435
enterprise,BM25,standard_top3,gpt-4o-mini,1.0,0.0468
enterprise,BM25,standard_top3,claude-haiku-4.5,1.0,0.2552
enterprise,BM25,standard_top3,gpt-4o,1.0,0.78
enterprise,BM25,standard_top3,claude-sonnet-4.6,1.0,0.957
enterprise,BM25,long_top5,gpt-4o-mini,1.0,0.0732
enterprise,BM25,long_top5,claude-haiku-4.5,1.0,0.396
enterprise,BM25,long_top5,gpt-4o,1.0,1.22
enterprise,BM25,long_top5,claude-sonnet-4.6,1.0,1.485
enterprise,NaiveRAG,short_top1,gpt-4o-mini,1.0,0.0207
enterprise,NaiveRAG,short_top1,claude-haiku-4.5,1.0,0.116
enterprise,NaiveRAG,short_top1,gpt-4o,1.0,0.345
enterprise,NaiveRAG,short_top1,claude-sonnet-4.6,1.0,0.435
enterprise,NaiveRAG,standard_top3,gpt-4o-mini,1.0,0.0468
enterprise,NaiveRAG,standard_top3,claude-haiku-4.5,1.0,0.2552
enterprise,NaiveRAG,standard_top3,gpt-4o,1.0,0.78
enterprise,NaiveRAG,standard_top3,claude-sonnet-4.6,1.0,0.957
enterprise,NaiveRAG,long_top5,gpt-4o-mini,1.0,0.0732
enterprise,NaiveRAG,long_top5,claude-haiku-4.5,1.0,0.396
enterprise,NaiveRAG,long_top5,gpt-4o,1.0,1.22
enterprise,NaiveRAG,long_top5,claude-sonnet-4.6,1.0,1.485
enterprise,RAG+Rerank,short_top1,gpt-4o-mini,1.0,0.0207
enterprise,RAG+Rerank,short_top1,claude-haiku-4.5,1.0,0.116
enterprise,RAG+Rerank,short_top1,gpt-4o,1.0,0.345
enterprise,RAG+Rerank,short_top1,claude-sonnet-4.6,1.0,0.435
enterprise,RAG+Rerank,standard_top3,gpt-4o-mini,1.0,0.0468
enterprise,RAG+Rerank,standard_top3,claude-haiku-4.5,1.0,0.2552
enterprise,RAG+Rerank,standard_top3,gpt-4o,1.0,0.78
enterprise,RAG+Rerank,standard_top3,claude-sonnet-4.6,1.0,0.957
enterprise,RAG+Rerank,long_top5,gpt-4o-mini,1.0,0.0732
enterprise,RAG+Rerank,long_top5,claude-haiku-4.5,1.0,0.396
enterprise,RAG+Rerank,long_top5,gpt-4o,1.0,1.22
enterprise,RAG+Rerank,long_top5,claude-sonnet-4.6,1.0,1.485
enterprise,AutoRAG,short_top1,gpt-4o-mini,0.8743169398907104,0.0181
enterprise,AutoRAG,short_top1,claude-haiku-4.5,0.8743169398907104,0.1014
enterprise,AutoRAG,short_top1,gpt-4o,0.8743169398907104,0.3016
enterprise,AutoRAG,short_top1,claude-sonnet-4.6,0.8743169398907104,0.3803
enterprise,AutoRAG,standard_top3,gpt-4o-mini,0.8743169398907104,0.0409
enterprise,AutoRAG,standard_top3,claude-haiku-4.5,0.8743169398907104,0.2231
enterprise,AutoRAG,standard_top3,gpt-4o,0.8743169398907104,0.682
enterprise,AutoRAG,standard_top3,claude-sonnet-4.6,0.8743169398907104,0.8367
enterprise,AutoRAG,long_top5,gpt-4o-mini,0.8743169398907104,0.064
enterprise,AutoRAG,long_top5,claude-haiku-4.5,0.8743169398907104,0.3462
enterprise,AutoRAG,long_top5,gpt-4o,0.8743169398907104,1.0667
enterprise,AutoRAG,long_top5,claude-sonnet-4.6,0.8743169398907104,1.2984
enterprise,RAG+Rerank+Abstain,short_top1,gpt-4o-mini,0.8743169398907104,0.0181
enterprise,RAG+Rerank+Abstain,short_top1,claude-haiku-4.5,0.8743169398907104,0.1014
enterprise,RAG+Rerank+Abstain,short_top1,gpt-4o,0.8743169398907104,0.3016
enterprise,RAG+Rerank+Abstain,short_top1,claude-sonnet-4.6,0.8743169398907104,0.3803
enterprise,RAG+Rerank+Abstain,standard_top3,gpt-4o-mini,0.8743169398907104,0.0409
enterprise,RAG+Rerank+Abstain,standard_top3,claude-haiku-4.5,0.8743169398907104,0.2231
enterprise,RAG+Rerank+Abstain,standard_top3,gpt-4o,0.8743169398907104,0.682
enterprise,RAG+Rerank+Abstain,standard_top3,claude-sonnet-4.6,0.8743169398907104,0.8367
enterprise,RAG+Rerank+Abstain,long_top5,gpt-4o-mini,0.8743169398907104,0.064
enterprise,RAG+Rerank+Abstain,long_top5,claude-haiku-4.5,0.8743169398907104,0.3462
enterprise,RAG+Rerank+Abstain,long_top5,gpt-4o,0.8743169398907104,1.0667
enterprise,RAG+Rerank+Abstain,long_top5,claude-sonnet-4.6,0.8743169398907104,1.2984
