dataset,seed,system,n_total,n_answerable,n_unanswerable,coverage_all,coverage_answerable,false_refusal_answerable,refusal_unanswerable,hallucination_unanswerable,answer_retention,balanced_abstention_accuracy,refusal_precision,refusal_recall,refusal_f1,f1_all_answerable,em_all_answerable,f1_answered_only,em_answered_only,citation_when_answered
squad,20260511,BM25,420,215,205,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.1582546880883926,0.018604651162790697,0.1582546880883926,0.018604651162790697,0.7627906976744186
squad,20260511,NaiveRAG,420,215,205,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.14085491406206893,0.018604651162790697,0.14085491406206893,0.018604651162790697,0.6837209302325581
squad,20260511,RAG+Rerank,420,215,205,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.17200491915880511,0.018604651162790697,0.17200491915880511,0.018604651162790697,0.8651162790697674
squad,20260511,AutoRAG,420,215,205,0.45476190476190476,0.6093023255813953,0.39069767441860465,0.7073170731707317,0.29268292682926833,0.6093023255813954,0.6583096993760635,0.6331877729257642,0.7073170731707317,0.6682027649769585,0.11629562844427908,0.018604651162790697,0.19086687111083972,0.030534351145038167,0.9618320610687023
squad,20260511,RAG+Rerank+Abstain,420,215,205,0.4785714285714286,0.6232558139534884,0.3767441860465116,0.6731707317073171,0.3268292682926829,0.6232558139534884,0.6482132728304028,0.6301369863013698,0.6731707317073171,0.6509433962264151,0.10541312959626482,0.009302325581395349,0.16913300644176818,0.014925373134328358,0.9253731343283582
squad,20260512,BM25,420,205,215,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.15675639713613473,0.01951219512195122,0.15675639713613473,0.01951219512195122,0.7853658536585366
squad,20260512,NaiveRAG,420,205,215,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.135635595374497,0.014634146341463415,0.135635595374497,0.014634146341463415,0.6829268292682927
squad,20260512,RAG+Rerank,420,205,215,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.16848891987967005,0.014634146341463415,0.16848891987967005,0.014634146341463415,0.8731707317073171
squad,20260512,AutoRAG,420,205,215,0.23333333333333334,0.33170731707317075,0.6682926829268293,0.8604651162790697,0.13953488372093026,0.3317073170731707,0.5960862166761203,0.5745341614906833,0.8604651162790697,0.6890130353817505,0.06542887071514682,0.00975609756097561,0.1972488014206632,0.029411764705882353,0.9852941176470589
squad,20260512,RAG+Rerank+Abstain,420,205,215,0.5880952380952381,0.7024390243902439,0.2975609756097561,0.5209302325581395,0.4790697674418605,0.7024390243902439,0.6116846284741917,0.6473988439306358,0.5209302325581395,0.577319587628866,0.12488526604617978,0.014634146341463415,0.17778805235740872,0.020833333333333332,0.9305555555555556
squad,20260513,BM25,420,205,215,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.14852184232394885,0.024390243902439025,0.14852184232394885,0.024390243902439025,0.751219512195122
squad,20260513,NaiveRAG,420,205,215,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.13360264587130954,0.024390243902439025,0.13360264587130954,0.024390243902439025,0.6585365853658537
squad,20260513,RAG+Rerank,420,205,215,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.17077602909252718,0.024390243902439025,0.17077602909252718,0.024390243902439025,0.8878048780487805
